halpha_e,obs_site,time,reference,time_system,FWHM,bisector,instr,star,airmass,exp_time,sig_to_noise_ratio_in_order_55,barycentric_earth_rv,uncert,halpha,rv,wavelength_calib_technique,source
0.003335457,La Silla Observatory,2454621.476,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.251254928,0.013298327,HARPS,HD72659,NaN,400,24.7,-23.79389882,4.369,0.396546239,-31.101,ThAr,Trifonov
0.001522019,La Silla Observatory,2454813.826,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.248678524,0.013170697,HARPS,HD72659,NaN,50.1,51.1,21.66480383,2.008,0.394126937,-26.398,ThAr,Trifonov
0.00163773,La Silla Observatory,2454840.779,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.2585732,0.017208402,HARPS,HD72659,NaN,63.4,47,10.83927801,2.218,0.395531981,-31.337,ThAr,Trifonov
0.001691816,La Silla Observatory,2454872.756,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.250920005,0.004250787,HARPS,HD72659,NaN,59.2,46.6,-4.912581244,2.194,0.398160719,-24.154,ThAr,Trifonov
0.002307425,La Silla Observatory,2455136.856,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.248741553,0.000779072,HARPS,HD72659,NaN,63.3989,34.9,28.44883669,3.052,0.403580602,-8.842,ThAr,Trifonov
0.001540893,La Silla Observatory,2455137.861,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.240562933,0.011089991,HARPS,HD72659,NaN,84.4995,50.4,28.44875761,2.073,0.398945147,-10.936,ThAr,Trifonov
0.001814576,La Silla Observatory,2455196.825,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.251957692,0.017950467,HARPS,HD72659,NaN,42.2942,45.1,14.8706317,2.19,0.403211823,-9.696,ThAr,Trifonov
0.002251423,La Silla Observatory,2455217.795,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.240539768,0.009809676,HARPS,HD72659,NaN,42.2997,36.8,5.100544516,2.746,0.405737354,-8.926,ThAr,Trifonov
0.001951227,La Silla Observatory,2455297.49,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.251098431,0.006022898,HARPS,HD72659,NaN,42.3072,41.2,-26.02403431,2.431,0.398627715,0.587,ThAr,Trifonov
0.002310773,La Silla Observatory,2455312.545,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.247569071,-0.00115789,HARPS,HD72659,NaN,63.4052,34.7,-27.88467357,3.463,0.402519089,-0.091,ThAr,Trifonov
